Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Storm,200.0,Kph,53.9,74.6,54.3,63.1,4.0,11.9,6.8,221.38,49.8,93.36,75.3,Mist,0.01,34.7,1022.5,4.17
Storm,171.0,Kph,43.6,63.5,46.7,53.3,0.6,20.2,9.0,195.63,55.47,90.5,79.55,"Mist, Rain, Light Rain, Sky Coverage Increasing",0.16,69.8,999.2,20.83
Storm,171.0,Kph,35.8,58.6,33.9,48.0,1.9,32.4,20.0,265.79,39.38,81.0,59.07,"Light Snow, Rain, Heavy Rain, Light Rain, Sky Coverage Increasing",0.09,61.8,1000.1,16.67
Storm,171.0,Kph,33.3,51.5,32.3,40.0,0.4,16.9,6.2,205.43,41.14,86.03,75.07,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",0.01,56.4,998.9,4.17
Storm,171.0,Kph,34.9,44.1,32.8,39.8,9.0,19.7,12.6,276.54,71.17,90.79,76.03,"Snow And Rain Showers, Drizzle, Light Snow, Rain, Rain Showers, Light Rain, Snow",0.22,73.2,1006.6,20.83
Storm,145.0,Kph,78.0,90.6,75.0,82.6,0.0,4.5,0.8,270.0,65.9,85.2,78.49,"Rain Showers, Smoke Or Haze",0.24,87.5,1005.7,25.0
Storm,145.0,Kph,77.1,91.5,73.7,82.6,0.0,2.2,0.6,360.0,63.32,86.05,75.08,Smoke Or Haze,0.0,85.7,1008.9,0.0
Storm,145.0,Kph,77.1,90.6,75.9,83.2,0.0,8.9,5.0,360.0,65.9,91.47,79.26,"Rain, Rain Showers, Light Rain, Smoke Or Haze",1.23,91.3,1004.3,18.75
Storm,145.0,Kph,77.1,79.8,75.2,78.6,4.5,47.0,20.7,296.82,79.2,94.24,89.32,"Heavy Rain, Light Rain, Smoke Or Haze",9.31,100.0,993.6,27.27
Storm,145.0,Kph,76.2,86.3,75.9,81.2,2.2,22.4,13.2,189.47,79.18,89.18,84.13,"Light Rain, Smoke Or Haze",0.63,100.0,998.4,10.53
Storm,145.0,Kph,77.1,89.7,74.7,81.7,0.0,8.9,4.8,195.0,65.8,88.68,79.8,"Light Rain, Smoke Or Haze",0.0,96.3,1003.5,0.0
Storm,145.0,Kph,75.3,83.4,75.4,80.8,0.0,11.2,6.7,180.0,75.67,89.75,83.78,"Rain, Rain Showers, Light Rain, Smoke Or Haze",0.23,100.0,998.3,26.67
Storm,145.0,Kph,75.8,80.3,74.9,77.8,0.0,8.9,2.8,327.27,86.11,96.48,90.84,"Light Rain, Smoke Or Haze",3.3,100.0,998.2,40.0
Storm,145.0,Kph,74.0,81.6,75.1,77.2,0.0,11.2,6.9,303.64,87.77,96.46,93.44,"Rain, Light Rain, Smoke Or Haze",5.39,99.2,997.2,33.33
Storm,145.0,Kph,72.6,87.9,72.2,77.5,0.0,11.2,6.5,180.0,67.6,94.11,84.35,"Light Rain, Smoke Or Haze",0.15,82.5,1000.2,16.67
Storm,145.0,Kph,75.3,91.5,73.3,82.7,0.0,11.2,4.2,180.0,57.88,85.1,74.19,Smoke Or Haze,0.0,62.5,1006.7,0.0
Storm,320.0,Kph,63.6,73.4,62.6,66.5,5.3,16.1,10.3,125.83,55.53,97.35,88.32,"Mist, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Fog, Heavy Rain, Light Rain",4.65,92.1,1008.0,79.17
Storm,320.0,Kph,65.8,73.2,67.8,70.3,0.9,15.2,7.8,189.75,83.88,97.8,92.07,"Mist, Thunderstorm, Rain, Rain Showers, Fog, Heavy Rain, Light Rain",3.29,95.0,1005.2,83.33
Storm,320.0,Kph,58.4,81.0,56.3,69.7,0.0,9.6,3.6,203.38,31.52,100.0,67.79,"Mist, Fog",0.44,29.9,1012.1,8.33
Storm,120.0,Kph,75.3,96.9,76.0,84.8,0.0,4.5,1.4,225.0,57.54,89.14,76.25,"Lightning Without Thunder, Smoke Or Haze",0.0,50.0,1009.0,0.0
Storm,120.0,Kph,77.1,87.0,74.5,80.9,0.0,4.5,1.1,180.0,73.83,86.08,81.07,"Light Rain, Smoke Or Haze",0.16,67.5,1008.7,12.5
Storm,120.0,Kph,75.3,92.4,74.0,82.8,0.0,4.5,2.2,180.0,62.96,87.53,75.75,Smoke Or Haze,0.02,71.3,1008.7,12.5
