DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2016-0115-URY,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4350|GLIDE:FL-2016-000041,,URY,Uruguay,Latin America and the Caribbean,Americas,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces ",Tornado,Lightening|Storm,No,No,No,,126653.11,Km2,-32.435,-56.195,,2016,4.0,12.0,2016,5.0,11.0,8.0,250.0,10355.0,,10605.0,,,,,3000.0,3658.0,82.010330903136,"[{""adm1_code"":3265,""adm1_name"":""Artigas""},{""adm1_code"":3266,""adm1_name"":""Canelones""},{""adm1_code"":3267,""adm1_name"":""Cerro Largo""},{""adm1_code"":3268,""adm1_name"":""Colonia""},{""adm1_code"":3269,""adm1_name"":""Durazno""},{""adm1_code"":3270,""adm1_name"":""Flores""},{""adm1_code"":3271,""adm1_name"":""Florida""},{""adm1_code"":3272,""adm1_name"":""Lavalleja""},{""adm1_code"":3274,""adm1_name"":""Montevideo""},{""adm1_code"":3275,""adm1_name"":""Paysandu""},{""adm1_code"":3276,""adm1_name"":""Rio Negro""},{""adm1_code"":3277,""adm1_name"":""Rivera""},{""adm1_code"":3278,""adm1_name"":""Rocha""},{""adm1_code"":3279,""adm1_name"":""Salto""},{""adm1_code"":3280,""adm1_name"":""San Jose""},{""adm1_code"":3281,""adm1_name"":""Soriano""},{""adm1_code"":3282,""adm1_name"":""Tacuarembo""},{""adm1_code"":3283,""adm1_name"":""Treinta Y Tres""}]",2016-04-18,2023-09-25
2016-0128-RUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4349,,RUS,Russian Federation,Eastern Europe,Europe,"Vologodskaya Oblast, Tyumenskaya Oblast, Sverdlovskaya Oblast provinces","Snwomelt, Ice jams and rising temperatures",,No,No,No,,1834048.3,Km2,61.967,59.803,,2016,4.0,16.0,2016,4.0,22.0,,,3200.0,,3200.0,,,,,2000.0,2439.0,82.010330903136,"[{""adm1_code"":2559,""adm1_name"":""Sverdlovskaya Oblast""},{""adm1_code"":2566,""adm1_name"":""Tyumenskaya Oblast""},{""adm1_code"":2573,""adm1_name"":""Vologodskaya Oblast""}]",2016-05-10,2023-09-25
2016-0131-AGO,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,DFO:4351,,AGO,Angola,Sub-Saharan Africa,Africa,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",Torrential rains,,No,No,No,,59745.82,Km2,-8.321,13.978,,2016,4.0,16.0,2016,4.0,22.0,23.0,,3200.0,2400.0,5600.0,,,,,,,82.010330903136,,2016-05-10,2023-09-25
2016-0139-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4355,,IND,India,Southern Asia,Asia,"Arunachal Pradesh, Assam, Nagaland provinces",Pre-monsoon rains,"Slide (land, mud, snow, rock)",No,No,No,,70517.68,Km2,27.464,95.607,Brahmaptura river,2016,4.0,22.0,2016,4.0,25.0,18.0,,100000.0,,100000.0,,,,,150000.0,182904.0,82.010330903136,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1503,""adm1_name"":""Nagaland""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""}]",2016-05-10,2023-09-25
2016-0179-DEU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4360|DFO:4366,,DEU,Germany,Western Europe,Europe,"Simbach am Inn, Triften, Tann, Regen cities (Niederbayern district, Bayern province)",Heavy rains,,No,No,No,,91554.92,Km2,48.407,10.22,,2016,5.0,31.0,2016,6.0,7.0,7.0,,,,,,,830000.0,1012068.0,2000000.0,2438717.0,82.010330903136,"[{""adm2_code"":16531,""adm2_name"":""Niederbayern""}]",2016-06-06,2023-09-25
2016-0183-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4359|GLIDE:FL-2016-000056,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",Heavy rain,Storm,No,No,Yes,,,Km2,30.857,-95.537,,2016,5.0,27.0,2016,6.0,2.0,15.0,,,,,,,200000.0,243872.0,300000.0,365808.0,82.010330903136,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2016-06-10,2023-09-25
2016-0212-GHA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4361,,GHA,Ghana,Sub-Saharan Africa,Africa,"Kwame Nkrumah Circle, Airport Residential area, Dzorwulu, Tse Addo (Accra Metropolis district, Greater Accra province), Tema Metropolis district (Greater Accra province)",Torrential rain,,No,No,No,,47506.4,Km2,6.414,-1.165,Odaw,2016,6.0,10.0,2016,6.0,14.0,10.0,,,,,,,,,,,82.010330903136,"[{""adm2_code"":190655,""adm2_name"":""Accra Metropolis""},{""adm2_code"":190722,""adm2_name"":""Tema Metropolis""}]",2016-07-06,2023-09-25
2016-0221-JPN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4363,,JPN,Japan,Eastern Asia,Asia,Kumamoto province,Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,18480.56,Km2,32.603,130.99,,2016,6.0,20.0,2016,6.0,23.0,7.0,,6000.0,,6000.0,,,,,,,82.010330903136,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""}]",2016-07-07,2023-09-25
2016-0232-MMR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4365|GLIDE:FL-2016-000058,,MMR,Myanmar,South-eastern Asia,Asia,"Sagaing, Bago (E), Bago (W), Rakhine, Mandalay, Ayeyawaddy, Magway, Yangon, Kachin, Mon provinces ",Monsoon rains,,No,No,No,,93839.67,Km2,18.316,95.26,,2016,6.0,1.0,2016,6.0,24.0,14.0,,377667.0,,377667.0,,,,,,,82.010330903136,"[{""adm1_code"":2123,""adm1_name"":""Rakhine""},{""adm1_code"":2126,""adm1_name"":""Ayeyawaddy""},{""adm1_code"":2127,""adm1_name"":""Kachin""},{""adm1_code"":2130,""adm1_name"":""Magway""},{""adm1_code"":2131,""adm1_name"":""Mandalay""},{""adm1_code"":2132,""adm1_name"":""Mon""},{""adm1_code"":2133,""adm1_name"":""Sagaing""},{""adm1_code"":2136,""adm1_name"":""Yangon""},{""adm1_code"":41772,""adm1_name"":""Bago (E)""},{""adm1_code"":41773,""adm1_name"":""Bago (W)""}]",2016-07-13,2023-09-25
2016-0236-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4356|GLIDE:FL-2016-000044,,CHN,China,Eastern Asia,Asia,"Jiangsu Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Gansu Sheng, Shaanxi Sheng, Qinghai Sheng, Hubei Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hunan, Fujian provinces",Heavy rains,,No,No,No,,197079.53,Km2,24.753,112.952,,2016,6.0,18.0,2016,6.0,23.0,68.0,,165000.0,,165000.0,,,60000.0,73162.0,3000000.0,3658076.0,82.010330903136,"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":902,""adm1_name"":""Gansu Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":919,""adm1_name"":""Qinghai Sheng""},{""adm1_code"":920,""adm1_name"":""Shaanxi Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2016-07-13,2023-09-25
